"年月","總編號","處理單位","處理編號","年","月","日","時","分","縣市","區","村里","鄰","街道","段","巷","弄","號","公尺處","街道.1","段.1","側","附近","道路","公里","公尺處.1","向","車道","平交道","公里.1","公尺處.2","附近.1","死","受傷","X2.30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","警局","分局","案件類別","事故類別","日期","道路1","道路2","概略位置","lon","lat"
10101,"10101Y00030004","YZA1","10101YZ000024",2012,1,13,22,45,"金門縣","金城鎮","",NA,"環島西路","一","",NA,"65","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"陰","夜間（或隧道、地下道、涵洞）有照明","村里道路",50,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","其他","未注意車前狀態","Y000","YZ00",1,3,2012-01-13,"環島西路一段65號","","金門縣金城鎮","118.3184801","24.4172073"
10101,"10101Y00020016","YZA1","10101YZ000026",2012,1,14,18,35,"金門縣","金城鎮","",NA,"民權路","","",NA,"61","","","","","路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"雨","夜間（或隧道、地下道、涵洞）有照明","村里道路",40,"三岔路","交岔路口內","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YZ00",NA,NA,2012-01-14,"民權路61號","","金門縣金城鎮路段","118.3140012","24.4324688"
10101,"10101Y00020017","YZA1","10101YZ000027",2012,1,14,20,5,"金門縣","金寧鄉","",NA,"環島北路","二","",NA,"","","","","","07168燈桿前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"雨","夜間（或隧道、地下道、涵洞）有照明","縣道",60,"直路","一般車道（未劃分快慢車道）","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","撞路樹、電桿","未注意車前狀態","Y000","YZ00",1,2,2012-01-14,"環島北路二段","","金門縣金寧鄉07168燈桿前路段","118.3537405","24.452631"
10101,"","YZA1","10101YZ000029",2012,1,17,16,2,"金門縣","金寧鄉","",NA,"伯玉路","一","",NA,"","","","","","水玲瓏檳榔攤旁產業道路",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","村里道路",40,"四岔路","交岔路口內","水泥","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","路口交岔撞","未依規定讓車","Y000","YZ00",1,4,2012-01-17,"伯玉路一段","","金門縣金寧鄉水玲瓏檳榔攤旁產業道路","118.3267756","24.4346914"
10101,"10101Y00020020","YZA1","10101YZ000032",2012,1,19,19,9,"金門縣","金城鎮","",NA,"環島西路","","",NA,"","","","","","莒光橋上",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",40,"三岔路","交岔口附近","柏油","乾燥","無缺陷","無障礙物","良好","行車管制號誌","正常","附標記","未繪設車道線","未繪設快慢車道分隔線","有","追撞","未注意車前狀態","Y000","YZ00",1,2,2012-01-19,"環島西路","","金門縣金城鎮莒光橋上","118.3148723","24.4566699"
10101,"10101Y00020021","YZA1","10101YZ000033",2012,1,20,18,0,"金門縣","金城鎮","",NA,"伯玉路","一","",NA,"","","","","","00274燈桿旁路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"陰","夜間（或隧道、地下道、涵洞）有照明","村里道路",60,"三岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YZ00",1,2,2012-01-20,"伯玉路一段","","金門縣金城鎮00274燈桿旁路段","118.3267756","24.4346914"
10101,"10101Y00030007","YZA1","10101YZ000036",2012,1,24,17,36,"金門縣","金城鎮","",NA,"民權路","","",NA,"98","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"雨","夜間（或隧道、地下道、涵洞）有照明","村里道路",40,"直路","一般車道（未劃分快慢車道）","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","未繪設快慢車道分隔線","有","同向擦撞","違規超車","Y000","YZ00",1,3,2012-01-24,"民權路98號","","金門縣金城鎮","118.3161157","24.4347418"
10102,"10102Y00020002","YYA1","10102YY000003",2012,2,2,2,0,"金門縣","金湖鎮","",NA,"環島南路","四","",NA,"","","","","","夏興路段05095號路燈桿",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",50,"彎曲路及附近","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","快慢車道分隔線","有","撞護欄（樁）","未依規定減速","Y000","YY00",1,2,2012-02-02,"環島南路四段","","金門縣金湖鎮夏興路段05095號路燈桿","118.40101","24.438041"
10102,"10102Y00020004","YYA1","10102YY000005",2012,2,4,20,40,"金門縣","金湖鎮","",NA,"環島北路","三","",NA,"","","","","","瓊林候車亭路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",60,"三岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","追撞","違規超車","Y000","YY00",1,2,2012-02-04,"環島北路三段","","金門縣金湖鎮瓊林候車亭路段","118.388325","24.466263"
10102,"10102Y00020007","YYA1","10102YY000009",2012,2,5,20,21,"金門縣","金湖鎮","山外里",NA,"士校路","","",NA,"","","","","","01479路燈前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",50,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","追撞","未保持行車安全距離","Y000","YY00",1,2,2012-02-05,"士校路","","金門縣金湖鎮山外里01479路燈前","118.4271704","24.4453138"
