"年月","總編號","處理單位","處理編號","年","月","日","時","分","縣市","區","村里","鄰","街道","段","巷","弄","號","公尺處","街道.1","段.1","側","附近","道路","公里","公尺處.1","向","車道","平交道","公里.1","公尺處.2","附近.1","死","受傷","X2.30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","警局","分局","案件類別","事故類別","日期","道路1","道路2","概略位置","lon","lat"
10205,"10205Y00020017","YZA1","10205YZ000016",2013,5,14,7,50,"金門縣","金寧鄉","",NA,"","","",NA,"","","","","","埔後135號後方路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",40,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","路口交岔撞","未依規定讓車","Y000","YZ00",1,2,"2013-05-14","金門縣金寧鄉埔後135號後方路口","","金門縣金寧鄉埔後135號後方路口",118.317029,24.442928
10309,"","YYA1","10309YY000052",2014,9,22,16,20,"金門縣","金湖鎮","",NA,"","","",NA,"","","","","","金門醫院旁公用停車場",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","其他",40,"三岔路","交岔口附近","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","倒車撞","倒車未依規定","Y000","YY00",1,4,"2014-09-22","金門縣金湖鎮金門醫院旁公用停車場","","金門縣金湖鎮金門醫院旁公用停車場",118.4279933,24.4376913
10205,"10205Y00020030","YZA1","10205YZ000046",2013,5,26,16,2,"金門縣","金寧鄉","",NA,"大學路","","",NA,"","","","","","理工大樓旁",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",40,"三岔路","交岔路口內","水泥","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","其他","未依規定讓車","Y000","YZ00",1,2,"2013-05-26","大學路","","金門縣金寧鄉理工大樓旁",118.325279,24.4466751
10301,"10301Y00020021","YZA1","10301YZ000029",2014,1,11,19,20,"金門縣","金城鎮","",NA,"","","",NA,"","","","","","環島北路29號前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",60,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","其他","起步未注意其他車（人）安全","Y000","YZ00",1,2,"2014-01-11","金門縣金城鎮環島北路29號前路段","","金門縣金城鎮環島北路29號前路段",118.322662,24.441264
10206,"10206Y00020011","YYA1","10206YY000018",2013,6,13,10,50,"金門縣","金湖鎮","",NA,"環島南路","三","",NA,"","","","","","05830號路燈桿",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",60,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","車道線（無標記）","未繪設快慢車道分隔線","有","路上翻車、摔倒","未注意車前狀態","Y000","YY00",1,2,"2013-06-13","環島南路三段","","金門縣金湖鎮05830號路燈桿",118.3757827,24.4398961
10308,"10308Y00020011","YYA1","10308YY000006",2014,8,6,7,58,"金門縣","金湖鎮","",NA,"市港路","","",NA,"","","","","","武德新莊路口C014桿",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",50,"三岔路","交岔路口內","柏油","乾燥","無缺陷","路上有停車","路上停放車輛","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","左轉彎未依規定","Y000","YY00",1,2,"2014-08-06","市港路","","金門縣金湖鎮武德新莊路口C014桿",118.4099121,24.4348324
10206,"10206Y00030001","YZA1","10206YZ000006",2013,6,2,15,36,"金門縣","金城鎮","",NA,"珠浦北路","","",NA,"34-1","","","","","停車格內",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","村里道路",40,"直路","一般車道（未劃分快慢車道）","其他鋪裝","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","其他","不明原因肇事","Y000","YZ00",1,3,"2013-06-02","珠浦北路34-1號","","金門縣金城鎮停車格內",118.3172552,24.4337778
10309,"10309Y00020045","YYA1","10309YY000007",2014,9,5,9,17,"金門縣","金湖鎮","山外里",NA,"黃海路","","",NA,"","","","","","順益車行前1369路燈桿",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",60,"直路","慢車道","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","撞路樹、電桿","酒醉（後）駕駛失控","Y000","YY00",1,2,"2014-09-05","黃海路","","金門縣金湖鎮山外里順益車行前1369路燈桿",118.4256931,24.452032
10206,"","YZA1","10206YZ000012",2013,6,8,9,20,"金門縣","金城鎮","",NA,"環島北路","一","",NA,"","","","","","文化局前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y000","YZ00",1,4,"2013-06-08","環島北路一段","","金門縣金城鎮文化局前路段",118.3283226,24.4462231
10309,"10309Y00020010","YZA1","10309YZ000022",2014,9,10,15,16,"金門縣","金寧鄉","",NA,"伯玉路","二","",NA,"","","","","","金民加油站前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",70,"三岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","右轉彎未依規定","Y000","YZ00",1,2,"2014-09-10","伯玉路二段","","金門縣金寧鄉金民加油站前路段",118.3416148,24.4414563
